date,home_team,away_team,home_win_rate,away_win_rate,home_goals_avg,away_goals_avg,home_conceded_avg,away_conceded_avg,h2h_home_wins,matches_played_diff,label
1970-06-03,Italy,Sweden,0.4,0.5,1.3,2.0,1.1,2.0,0.0,4,1
1970-06-06,Belgium,Russia,0.14285714285714285,0.5,1.5714285714285714,1.7,2.857142857142857,1.3,0.5,-9,0
1970-06-06,Czechoslovakia,Romania,0.4,0.16666666666666666,1.7,1.3333333333333333,1.6,2.1666666666666665,1.0,14,0
1970-06-07,Brazil,England,0.7,0.7,2.2,1.6,1.2,0.7,0.5,12,1
1970-06-07,Bulgaria,Germany,0.0,0.7,0.5714285714285714,2.1,2.5714285714285716,0.9,0.5,-22,0
1970-06-10,Brazil,Romania,0.7,0.2857142857142857,2.1,1.4285714285714286,1.2,2.0,0.5,27,1
1970-06-10,Germany,Peru,0.7,0.5,2.4,1.75,1.0,1.5,0.5,26,1
1970-06-10,Sweden,Uruguay,0.5,0.3,1.8,0.9,1.3,1.4,0.0,-4,1
1970-06-11,Czechoslovakia,England,0.4,0.6,1.6,1.3,1.6,0.7,0.5,-1,0
1970-06-11,Mexico,Belgium,0.2,0.125,0.9,1.5,1.2,3.0,0.5,11,1
1970-06-14,Brazil,Peru,0.8,0.4,2.4,1.6,1.4,1.8,0.5,30,1
1970-06-14,England,Germany,0.7,0.7,1.4,2.5,0.7,1.1,1.0,-8,0
1970-06-14,Mexico,Italy,0.3,0.3,0.9,0.7,1.1,0.8,0.5,-3,0
1970-06-14,Russia,Uruguay,0.6,0.3,1.7,0.8,0.9,1.2,1.0,-5,0
1970-06-17,Brazil,Uruguay,0.8,0.3,2.6,0.7,1.5,1.1,0.0,12,1
1970-06-17,Germany,Italy,0.8,0.4,2.8,1.0,1.2,0.5,0.0,8,0
1970-06-20,Germany,Uruguay,0.7,0.3,2.6,0.7,1.6,1.1,1.0,8,1
1970-06-21,Brazil,Italy,0.8,0.5,2.6,1.4,1.5,0.8,0.0,12,1
1974-06-14,Germany,Chile,0.8,0.5,2.7,1.7,1.6,1.5,0.0,19,1
1974-06-23,Bulgaria,Netherlands,0.0,0.25,0.8,1.0,2.4,1.5,0.5,7,0
1974-06-23,Poland,Italy,0.6666666666666666,0.4,5.0,1.4,2.6666666666666665,1.2,0.5,-25,1
1974-06-23,Sweden,Uruguay,0.4,0.2,1.1,0.5,0.9,1.2,0.5,-7,1
1974-06-26,Brazil,German DR,0.7,0.6666666666666666,2.3,1.3333333333333333,1.0,0.3333333333333333,0.5,38,1
1974-06-26,Germany,Yugoslavia,0.7,0.4,2.3,2.0,1.5,0.9,0.6666666666666666,15,1
1974-06-26,Netherlands,Argentina,0.4,0.4,1.6,1.3,1.4,1.0,0.5,-14,1
1974-06-26,Sweden,Poland,0.4,0.75,1.2,4.25,0.8,2.25,0.5,18,0
1974-06-30,Argentina,Brazil,0.3,0.8,1.2,2.3,1.4,0.7,0.5,-22,0
1974-06-30,German DR,Netherlands,0.5,0.5,1.0,2.0,0.5,1.1666666666666667,0.5,-2,0
1974-06-30,Germany,Sweden,0.8,0.4,2.3,1.2,1.1,0.9,1.0,15,1
1974-06-30,Poland,Yugoslavia,0.8,0.4,3.6,2.0,1.8,1.0,0.5,-18,1
1974-07-03,Germany,Poland,0.8,0.8333333333333334,2.5,3.3333333333333335,1.2,1.6666666666666667,0.5,33,1
1974-07-03,Netherlands,Brazil,0.5714285714285714,0.8,2.0,2.1,1.0,0.7,0.5,-36,1
1974-07-03,Sweden,Yugoslavia,0.3,0.4,1.2,2.1,1.3,1.0,0.5,0,1
1974-07-06,Brazil,Poland,0.7,0.7142857142857143,2.0,2.857142857142857,0.9,1.5714285714285714,1.0,37,0
1974-07-07,Germany,Netherlands,0.8,0.625,2.1,2.0,1.0,0.875,0.5,32,1
1978-06-02,Argentina,Hungary,0.3,0.5,1.3,2.1,1.4,1.2,0.0,-1,1
1978-06-02,France,Italy,0.5,0.4,2.8,1.5,2.2,1.3,0.0,-12,0
1978-06-03,Austria,Spain,0.4,0.3,2.1,1.1,2.3,1.9,0.5,-3,1
