date,home_team,away_team,home_win_rate,away_win_rate,home_goals_avg,away_goals_avg,home_conceded_avg,away_conceded_avg,home_win_rate_vs_top,away_win_rate_vs_top,h2h_home_wins,matches_played_diff,home_rank,away_rank,rank_diff,label
2001-07-28,Saint Kitts and Nevis,Martinique,0.4,0.5,2.6,1.6,1.6,1.3,0.33,0.33,0.6666666666666666,1,100,100,0,1
2002-03-09,Alderney,Jersey,0.0,0.6,0.1111111111111111,3.5,6.888888888888889,1.1,0.33,0.33,0.25,-27,100,100,0,0
2002-05-06,Jersey,Guernsey,0.6,0.7,3.2,3.0,1.1,1.4,0.33,0.33,0.6666666666666666,5,100,100,0,1
2002-07-25,Saint Kitts and Nevis,Taiwan,0.4,0.1,2.2,0.3,1.6,3.3,0.33,0.33,0.5,24,100,100,0,1
2002-11-13,Saint Kitts and Nevis,Saint Lucia,0.6,0.5,2.3,3.5,1.4,1.6,0.33,0.33,0.6666666666666666,10,100,100,0,1
2003-03-22,Alderney,Guernsey,0.0,0.7,0.2,3.0,6.4,1.5,0.33,0.33,0.0,-23,100,100,0,0
2003-03-30,Saint Lucia,Martinique,0.7,0.3,3.5,1.5,1.6,1.3,0.33,0.33,0.6666666666666666,-9,100,100,0,0
2003-05-18,Jersey,Guernsey,0.7,0.6,3.7,2.7,1.2,1.2,0.33,0.33,0.6428571428571429,4,100,100,0,1
2003-06-29,Frøya,Jersey,0.3,0.7,1.8,2.8,3.1,1.2,0.33,0.33,1.0,-30,100,100,0,0
2003-06-29,Guernsey,Alderney,0.6,0.0,2.7,0.3,1.2,5.8,0.33,0.33,0.0,25,100,100,0,1
2003-06-29,Isle of Wight,Greenland,0.5,0.4,2.8,1.8,1.4,2.2,0.33,0.33,0.3333333333333333,1,100,100,0,0
2003-06-29,Saare County,Ynys Môn,0.125,0.3,1.125,1.4,3.25,0.9,0.33,0.33,1.0,-12,100,100,0,0
2003-06-30,Guernsey,Orkney,0.6,0.0,2.8,0.5,1.3,5.0,0.33,0.33,0.5,33,100,100,0,1
2003-06-30,Isle of Man,Saare County,0.4,0.1111111111111111,3.5,1.0,1.8,3.111111111111111,0.33,0.33,0.5,8,100,100,0,1
2003-06-30,Jersey,Shetland,0.7,0.3,3.2,2.0,1.3,2.1,0.33,0.33,0.5,23,100,100,0,1
2003-07-01,Orkney,Alderney,0.0,0.0,0.4,0.4,6.0,4.7,0.33,0.33,0.5,-7,100,100,0,1
2003-07-01,Shetland,Frøya,0.3,0.3,1.9,1.9,2.4,3.2,0.33,0.33,0.5,7,100,100,0,1
2003-07-01,Ynys Môn,Isle of Man,0.4,0.5,1.6,3.8,0.9,1.4,0.33,0.33,0.5,3,100,100,0,0
2003-07-03,Alderney,Greenland,0.0,0.4,0.4,2.8,4.3,2.1,0.33,0.33,0.5,-11,100,100,0,0
2003-07-03,Frøya,Sark,0.3,0.0,2.0,0.0,3.1,18.33333333333333,0.33,0.33,0.5,10,100,100,0,1
2003-07-03,Gotland,Saare County,0.375,0.1,3.625,0.9,1.75,3.2,0.33,0.33,0.5,-2,100,100,0,1
2003-07-03,Guernsey,Isle of Wight,0.6,0.5,3.4,3.9,1.2,1.4,0.33,0.33,0.3333333333333333,13,100,100,0,1
2003-07-03,Isle of Man,Jersey,0.5,0.7,3.8,2.4,1.4,0.9,0.33,0.33,1.0,-24,100,100,0,1
2003-07-04,Gotland,Greenland,0.4444444444444444,0.5,3.555555555555556,2.9,1.5555555555555556,1.4,0.33,0.33,1.0,-16,100,100,0,1
2003-07-04,Guernsey,Isle of Man,0.6,0.5,3.4,2.7,1.3,1.5,0.33,0.33,0.0,19,100,100,0,1
