date,home_team,away_team,home_win_rate,away_win_rate,home_goals_avg,away_goals_avg,home_conceded_avg,away_conceded_avg,h2h_home_wins,matches_played_diff,home_rank,away_rank,rank_diff,label
2002-06-02,Argentina,Nigeria,0.5,0.5,1.8,1.625,1.1,1.625,1.0,49,3.0,27.0,24.0,1
2002-06-03,Croatia,Mexico,0.7142857142857143,0.3,1.5714285714285714,1.4,0.7142857142857143,1.1,0.5,-30,21.0,7.0,-14.0,0
2002-06-03,Brazil,Turkey,0.6,0.3333333333333333,1.8,3.333333333333333,1.2,3.6666666666666665,0.5,77,2.0,22.0,20.0,1
2002-06-04,South Korea,Poland,0.0,0.4,0.9,1.2,2.3,1.2,0.5,-11,40.0,38.0,-2.0,1
2002-06-05,United States,Portugal,0.1,0.6666666666666666,0.6,2.111111111111111,1.7,1.3333333333333333,0.5,8,13.0,5.0,-8.0,1
2002-06-05,Russia,Tunisia,0.4,0.1666666666666666,2.3,0.6666666666666666,1.5,1.0,0.5,28,28.0,31.0,3.0,1
2002-06-06,Cameroon,Saudi Arabia,0.1,0.25,1.0,0.875,2.5,2.625,0.5,7,17.0,34.0,17.0,1
2002-06-07,Spain,Paraguay,0.4,0.2,2.2,1.2,1.3,1.3,0.0,25,8.0,18.0,10.0,1
2002-06-07,Sweden,Nigeria,0.3,0.4444444444444444,1.8,1.4444444444444444,1.3,1.5555555555555556,0.5,30,19.0,27.0,8.0,1
2002-06-07,Argentina,England,0.6,0.5,1.9,1.5,1.0,1.0,0.5,12,3.0,12.0,9.0,0
2002-06-08,Italy,Croatia,0.7,0.625,1.6,1.375,0.6,0.75,0.5,59,6.0,21.0,15.0,0
2002-06-09,Japan,Russia,0.0,0.4,0.75,1.9,1.5,1.5,0.5,-31,32.0,28.0,-4.0,1
2002-06-10,Portugal,Poland,0.6,0.4,2.1,1.2,1.5,1.4,1.0,-16,5.0,38.0,33.0,1
2002-06-11,Saudi Arabia,Republic of Ireland,0.2222222222222222,0.1,0.7777777777777778,0.5,2.4444444444444446,0.8,0.5,-2,34.0,15.0,-19.0,0
2002-06-11,Denmark,France,0.5,0.7,2.1,1.9,1.5,0.5,1.0,-32,20.0,1.0,-19.0,1
2002-06-11,Cameroon,Germany,0.2,0.6,1.1,2.4,2.1,1.3,0.5,-64,17.0,11.0,-6.0,0
2002-06-12,South Africa,Spain,0.2,0.5,1.2,2.4,1.6,1.2,0.5,-37,37.0,8.0,-29.0,0
2002-06-13,Costa Rica,Brazil,0.5,0.6,1.1666666666666667,2.0,1.1666666666666667,1.1,1.0,-76,29.0,2.0,-27.0,0
2002-06-14,South Korea,Portugal,0.1,0.6,1.0,2.2,1.9,1.4,0.5,5,40.0,5.0,-35.0,1
2002-06-14,Poland,United States,0.3,0.2,0.7,0.9,1.7,1.4,0.5,8,38.0,13.0,-25.0,1
2002-06-14,Belgium,Russia,0.2,0.4,1.0,1.8,1.1,1.5,0.0,-2,23.0,28.0,5.0,1
2002-06-14,Japan,Tunisia,0.2,0.125,0.8,0.625,1.2,1.125,0.5,-3,32.0,31.0,-1.0,1
2002-06-15,Denmark,England,0.5,0.4,1.7,1.4,1.4,1.0,0.5,-36,20.0,12.0,-8.0,0
2002-06-15,Germany,Paraguay,0.6,0.2,2.3,1.2,1.1,1.4,0.5,63,11.0,18.0,7.0,1
2002-06-16,Sweden,Senegal,0.4,0.3333333333333333,1.9,1.6666666666666667,1.1,1.3333333333333333,0.5,38,19.0,42.0,23.0,0
2002-06-17,Mexico,United States,0.4,0.2,1.6,0.9,1.2,1.5,0.5,20,7.0,13.0,6.0,0
2002-06-17,Brazil,Belgium,0.7,0.3,2.5,1.3,1.3,1.2,0.5,48,2.0,23.0,21.0,1
2002-06-18,South Korea,Italy,0.2,0.5,1.0,1.4,1.6,0.7,0.0,-52,40.0,6.0,-34.0,1
2002-06-18,Japan,Turkey,0.3333333333333333,0.3333333333333333,1.0,2.5,1.0,2.333333333333333,0.5,0,32.0,22.0,-10.0,0
2002-06-21,Germany,United States,0.6,0.3,2.1,1.0,0.9,1.4,1.0,61,11.0,13.0,2.0,1
2002-06-21,England,Brazil,0.4,0.7,1.4,2.5,0.8,1.2,0.6666666666666666,-35,12.0,2.0,-10.0,0
2002-06-22,Senegal,Turkey,0.5,0.4285714285714285,1.75,2.2857142857142856,1.25,2.0,0.5,-3,42.0,22.0,-20.0,0
2002-06-25,South Korea,Germany,0.3,0.7,1.0,2.1,1.4,0.7,1.0,-64,40.0,11.0,-29.0,0
2002-06-26,Brazil,Turkey,0.7,0.5,2.4,2.125,1.3,1.75,1.0,77,2.0,22.0,20.0,1
2002-06-29,South Korea,Turkey,0.3,0.4444444444444444,1.0,1.8888888888888888,1.5,1.6666666666666667,0.0,11,40.0,22.0,-18.0,0
2002-06-30,Germany,Brazil,0.7,0.8,2.0,2.4,0.7,1.1,0.5,-2,11.0,2.0,-9.0,0
2006-06-09,Germany,Costa Rica,0.7,0.4285714285714285,1.8,1.2857142857142858,0.7,1.7142857142857142,0.5,78,19.0,26.0,7.0,1
2006-06-09,Poland,Ecuador,0.3,0.3333333333333333,0.7,0.6666666666666666,1.8,1.3333333333333333,0.5,25,29.0,39.0,10.0,0
2006-06-10,England,Paraguay,0.4,0.2,1.4,1.1,0.9,1.4,1.0,31,10.0,33.0,23.0,1
2006-06-11,Mexico,Iran,0.3,0.1666666666666666,1.4,0.6666666666666666,1.3,2.0,0.5,35,4.0,23.0,19.0,1
2006-06-11,Serbia,Netherlands,0.5,0.5,1.25,1.9,1.0,1.1,1.0,-28,47.0,3.0,-44.0,0
2006-06-12,Australia,Japan,0.0,0.2857142857142857,0.0,0.8571428571428571,1.6666666666666667,1.0,0.5,-4,42.0,18.0,-24.0,1
2006-06-13,Brazil,Croatia,0.8,0.6,2.2,1.3,1.0,0.8,0.5,77,1.0,23.0,22.0,1
2006-06-14,Germany,Poland,0.7,0.3,2.0,0.7,0.9,2.0,0.5,57,19.0,29.0,10.0,1
2006-06-15,Sweden,Paraguay,0.3,0.2,1.5,0.9,1.0,1.3,0.0,23,16.0,33.0,17.0,1
